run,universe,direction,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_net,n_tests_cumulative,p_value_bonferroni
R16,full,short,inside_VA,value_area,229868,728,748,0.002110602410980265,1.04054029136232,0.2984348725915285,-0.001871562557008647,0.006092767378969177,-0.0008285426316029074,-4.193134076548859,0.4992038995231221,342,1.0
R17,full,long,Q1,dist_swing_high_q,63935,728,745,-0.002209521230212116,-1.2434222571168618,0.21411309175799295,-0.005698121908606429,0.0012790794481821969,-0.00040726083891821127,-0.6397362114020333,0.3944431527551732,342,1.0
R17,full,short,Q1,dist_swing_high_q,63935,728,745,0.001409521230212116,0.7932171212295758,0.4279101301457172,-0.0020790794481821964,0.004898121908606429,-0.00039273916108178904,-0.6169251717082824,0.5220588235294118,342,1.0
R17,full,long,Q2,dist_swing_high_q,66088,728,742,-0.0025286606061071955,-1.3007465373061033,0.19375736892754195,-0.006345198539644847,0.0012878773274304558,-0.0009345386416469753,-2.6371691402014887,0.44142840606551687,342,1.0
R17,full,short,Q2,dist_swing_high_q,66088,728,742,0.0017286606061071958,0.8892254231907324,0.3741760764478935,-0.0020878773274304553,0.005545198539644847,0.00013453864164697545,0.3796538078840164,0.508392175020257,342,1.0
R17,full,long,Q3,dist_swing_high_q,66128,728,738,-0.0020120608747015733,-0.9778986375044345,0.3284497484328291,-0.006051480713334733,0.002027358963931587,-0.0005104803363633767,-1.2876090089476402,0.4453672087505064,342,1.0
R17,full,short,Q3,dist_swing_high_q,66128,728,738,0.001212060874701574,0.5890839053857656,0.5559879854219267,-0.002827358963931586,0.005251480713334734,-0.0002895196636366235,-0.7302693181518436,0.5056137507957637,342,1.0
R17,full,long,Q4,dist_swing_high_q,64437,728,728,-0.0013942311334819294,-0.6408053876199271,0.5218510670583953,-0.005665730447294829,0.0028772681803309694,0.0001934256925370294,0.4246765403958297,0.43196550526681327,342,1.0
R17,full,short,Q4,dist_swing_high_q,64437,728,728,0.0005942311334819297,0.27311577161223394,0.7848417873391166,-0.0036772681803309685,0.004865730447294828,-0.000993425692537029,-2.18111968846223,0.49502257205695105,342,1.0
R17,full,long,Q5,dist_swing_high_q,57310,728,691,-0.00017253334336296553,-0.07561682155745912,0.939744755997038,-0.0046520003143435944,0.004306933627617663,0.001344116782425612,2.004268024536804,0.3676915540443189,342,1.0
R17,full,short,Q5,dist_swing_high_q,57310,728,691,-0.0006274666566370338,-0.27500211427748067,0.7833927482756909,-0.005106933627617663,0.003852000314343595,-0.002144116782425612,-3.1971810515848698,0.4535919084805348,342,1.0
R17,full,long,Q1,dist_swing_low_q,57843,728,741,-0.00017191640416723436,-0.08427987962858904,0.932857111235504,-0.004176571620445746,0.0038327388121112767,0.0011083532951195049,1.854147945685852,0.38083059664622626,342,1.0
R17,full,short,Q1,dist_swing_low_q,57843,728,741,-0.0006280835958327651,-0.3079101736096321,0.7582388784295144,-0.004632738812111276,0.003376571620445746,-0.001908353295119505,-3.1924561936788782,0.4489232468249586,342,1.0
R17,full,long,Q2,dist_swing_low_q,65619,728,743,-0.0018118604575428727,-0.8967043936838057,0.37017350640834046,-0.005778723149952847,0.002155002234867102,-0.0002564397736082472,-0.656808396168643,0.4420650538256743,342,1.0
