run,universe,direction,comparison,diff_net,t_stat_clustered,p_value_raw,ci_lo,ci_hi,n_obs,p_value_bonferroni
R17,full,short,Q5 - Q1,-0.002036987886849139,-1.6507820117584744,0.0992149854656513,-0.0044595249914492225,0.00038554921775094467,121245,1.0
R17,full,long,Q5 - Q1,-0.0014119768592494718,-1.1719206379293612,0.24161282588581995,-0.0037773578143035875,0.0009534040958046441,121087,1.0
R17,full,short,Q5 - Q1,0.0014119768592494454,1.1719206379293368,0.24161282588582964,-0.0009534040958046753,0.003777357814303566,121087,1.0
R14,exec,long,in_bull_FVG - in_bear_FVG,0.0012615882136218194,0.3269393888895396,0.743807836341233,-0.006314100051694127,0.008837276478937766,21036,1.0
R14,exec,short,in_bull_FVG - in_bear_FVG,-0.0012615882136228491,-0.3269393888897901,0.7438078363410439,-0.008837276478939175,0.006314100051693477,21036,1.0
R15,exec,long,in_bull_OB - in_bear_OB,-0.006510172286863065,-1.8013212551705327,0.07206707293308819,-0.013605525581638543,0.0005851810079124126,37845,1.0
R15,exec,short,in_bull_OB - in_bear_OB,0.006510172286862975,1.801321255170508,0.07206707293309209,-0.000585181007912502,0.013605525581638453,37845,1.0
R15,exec,long,Q5 - Q1,0.004154428168001996,3.034472921229315,0.002495464537189809,0.001466611103451287,0.006842245232552705,119131,0.8534488717189146
R15,exec,short,Q5 - Q1,-0.004154428168002002,-3.0344729212293178,0.002495464537189788,-0.006842245232552713,-0.0014666111034512914,119131,0.8534488717189075
R16,exec,long,Q5 - Q1,0.00030631725220040614,0.3386292444752243,0.7349868254282378,-0.0014695835969291164,0.0020822181013299287,115913,1.0
R16,exec,short,Q5 - Q1,-0.00030631725220039074,-0.33862924447520854,0.7349868254282496,-0.0020822181013299065,0.001469583596929125,115913,1.0
R16,exec,long,Q5 - Q1,0.0013931348357090183,1.9244229292583206,0.054691586600662284,-2.8095105269496795e-05,0.0028143647766875335,116193,1.0
R16,exec,short,Q5 - Q1,-0.0013931348357090025,-1.9244229292583093,0.05469158660066371,-0.00281436477668751,2.8095105269504818e-05,116193,1.0
R16,exec,long,above_VA - below_VA,0.0013010222322017285,0.24575242560237057,0.8059432480601562,-0.009092401269785645,0.011694445734189103,84252,1.0
R16,exec,short,above_VA - below_VA,-0.0013010222322017131,-0.24575242560236765,0.8059432480601583,-0.011694445734189087,0.00909240126978566,84252,1.0
R17,exec,long,Q5 - Q1,0.002670342986945248,2.142840700650724,0.032457261816329325,0.00022382237320811007,0.005116863600682387,112104,1.0
R17,exec,short,Q5 - Q1,-0.002670342986945244,-2.1428407006507206,0.0324572618163296,-0.005116863600682382,-0.00022382237320810574,112104,1.0
R17,exec,long,Q5 - Q1,-0.001870025958519329,-1.5455122397096794,0.12265757846857092,-0.0042454814928133775,0.0005054295757747191,112239,1.0
R17,exec,short,Q5 - Q1,0.0018700259585193249,1.5455122397096734,0.12265757846857238,-0.0005054295757747267,0.004245481492813377,112239,1.0
R18,BTC_bear,long,H1_signal - rest,0.008519394871855667,4.797976027234405,2.40612223189979e-06,0.005026769174608743,0.012012020569102591,141904,0.0008228938033097282
R18,BTC_bear,short,H1_signal - rest,-0.00851939487185569,-4.797976027234423,2.4061222318995892e-06,-0.01201202056910261,-0.005026769174608769,141904,0.0008228938033096596
R18_R1_funding_xs,BTC_bear,long,Q5 - Q1,0.0007228448243278975,0.5871521392719952,0.5574923689556383,-0.0016987183236910675,0.0031444079723468624,56623,1.0
R18_R1_funding_xs,BTC_bear,short,Q5 - Q1,-0.0007228448243279225,-0.5871521392720129,0.5574923689556263,-0.0031444079723468984,0.0016987183236910532,56623,1.0
R18_R2_funding_tsz,BTC_bear,long,Q5 - Q1,-0.005198930299517498,-4.746989718337474,3.050366178473036e-06,-0.007353185125581365,-0.00304467547345363,56602,0.0010432252330377784
R18_R2_funding_tsz,BTC_bear,short,Q5 - Q1,0.005198930299517498,4.74698971833749,3.0503661784728027e-06,0.003044675473453637,0.007353185125581358,56602,0.0010432252330376986
R18,BTC_bull,long,H1_signal - rest,0.006660710194850169,2.924394668228534,0.003654334532173816,0.0021826185262866556,0.011138801863413683,154526,1.0
R18,BTC_bull,short,H1_signal - rest,-0.006660710194850102,-2.9243946682285045,0.0036543345321741606,-0.011138801863413615,-0.002182618526286588,154526,1.0
