run,universe,direction,horizon_h,comparison,diff_gross,t_gross,p_gross,diff_net,se,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_gross,t_neutral_gross,ci_lo_neutral,ci_hi_neutral,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R4,full,long,48,Q5|L3 - Q1|L3,-0.001534540043819709,-0.8551342047169451,0.39275780330697274,-0.0006936906073697505,0.001813707054738298,-0.3824711413882899,0.7022237165305935,-0.004254419112289827,0.002867037897550327,-0.0017643350542565666,-1.2032639913677043,-0.004642991750446513,0.0011143216419333796,-0.0009012257386887942,-0.6117157384690237,728,56440,1.0
R4,full,short,48,Q5|L3 - Q1|L3,0.001534540043819709,0.8551342047169451,0.39275780330697274,0.000693690607369744,0.001813707054738298,0.38247114138828636,0.7022237165305961,-0.002867037897550333,0.004254419112289821,0.0017643350542565666,1.2032639913677043,-0.0011143216419333796,0.004642991750446513,0.0009012257386887962,0.611715738469025,728,56440,1.0
R5,full,long,48,Q5 - Q1,0.0003612090172680819,0.23320739215221892,0.8156658306607544,0.0018947495387708234,0.001339136338704096,1.414904131870847,0.15752477706006845,-0.0007342863470084296,0.004523785424550076,0.00036649831001331844,0.23682427449528884,-0.0026716956287700837,0.003404692248796721,0.001972690265001208,1.2462100096838529,728,112358,1.0
R5,full,short,48,Q5 - Q1,-0.0003612090172680819,-0.23320739215221892,0.8156658306607544,-0.0018947495387706748,0.0013391363387041005,-1.4149041318707314,0.15752477706010237,-0.004523785424549937,0.0007342863470085868,-0.00036649831001331844,-0.23682427449528884,-0.003404692248796721,0.0026716956287700837,-0.0019726902650011417,-1.2462100096838113,728,112358,1.0
R6,full,long,48,Q5|L1 - Q1|L1,0.0005859086586198333,0.28662430056256305,0.7744814452198029,-0.0017214281175614268,0.0020635846334275364,-0.8341931266963349,0.4044461752002605,-0.005772724388017137,0.0023298681528942833,-0.0010571096521659793,-0.6628279145292232,-0.004188152279043917,0.002073932974711959,-0.0034895335792539703,-2.1679566616202406,728,26186,1.0
R6,full,short,48,Q5|L1 - Q1|L1,-0.0005859086586198333,-0.28662430056256305,0.7744814452198029,0.001721428117561379,0.0020635846334275407,0.83419312669631,0.4044461752002746,-0.0023298681528943392,0.005772724388017097,0.0010571096521659793,0.6628279145292232,-0.002073932974711959,0.004188152279043917,0.003489533579253983,2.1679566616202477,728,26186,1.0
R6,full,long,48,Q5|L2 - Q1|L2,0.007158590308814403,4.045159357543429,5.786436249754527e-05,0.003129709080292318,0.001774187552202746,1.7640238070696763,0.07814791324064098,-0.0003534334557079291,0.006612851616292565,0.006455894123723217,4.6529119220827475,0.003731930523252702,0.009179857724193732,0.0023886546190738573,1.713748899789426,728,37440,1.0
R6,full,short,48,Q5|L2 - Q1|L2,-0.007158590308814403,-4.045159357543429,5.786436249754527e-05,-0.0031297090802922915,0.0017741875522027458,-1.7640238070696617,0.07814791324064349,-0.006612851616292538,0.0003534334557079551,-0.006455894123723217,-4.6529119220827475,-0.009179857724193732,-0.003731930523252702,-0.0023886546190738742,-1.7137488997894381,728,37440,1.0
R6,full,long,48,Q5|L3 - Q1|L3,0.011071215688405252,5.3424428778803055,1.2270256317278306e-07,0.0044826394459816215,0.0020830467783839847,2.1519629287726443,0.031728898909810455,0.0003931344614272001,0.008572144430536043,0.008705799108939311,4.528690160580771,0.004931765486560312,0.01247983273131831,0.00214963758553946,1.1114014175276408,728,47785,1.0
R6,full,short,48,Q5|L3 - Q1|L3,-0.011071215688405252,-5.3424428778803055,1.2270256317278306e-07,-0.004482639445981632,0.0020830467783839847,-2.1519629287726496,0.03172889890981001,-0.008572144430536053,-0.0003931344614272105,-0.008705799108939311,-4.528690160580771,-0.01247983273131831,-0.004931765486560312,-0.0021496375855394466,-1.1114014175276337,728,47785,1.0
R1,exec,long,48,Q5 - Q1,0.007358472673607499,5.361769919048382,1.1071678806047603e-07,0.0024166781458243567,0.001365298691582318,1.7700728497905016,0.07713408003829535,-0.00026372051952058785,0.005097076811169301,0.005795004007760329,5.442066420366627,0.0037044584572431196,0.00788554955827754,0.0007971280193789475,0.7570692809473322,728,103248,1.0
R1,exec,short,48,Q5 - Q1,-0.007358472673607499,-5.361769919048382,1.1071678806047603e-07,-0.0024166781458243095,0.001365298691582316,-1.7700728497904696,0.07713408003830072,-0.0050970768111692506,0.0002637205195206312,-0.005795004007760329,-5.442066420366627,-0.00788554955827754,-0.0037044584572431196,-0.000797128019378904,-0.7570692809472909,728,103248,1.0
R1,exec,long,48,D10 - D1,0.008997417160073247,5.061666880980465,5.267449245928196e-07,0.0007985312281418452,0.0017665521301241027,0.45202811427124273,0.6513835625265022,-0.002669621199631446,0.004266683655915137,0.009455278964631256,5.874992282799037,0.006295644966284244,0.012614912962978269,0.001242162661317192,0.7777864365767765,728,53332,1.0
R1,exec,short,48,D10 - D1,-0.008997417160073247,-5.061666880980465,5.267449245928196e-07,-0.0007985312281418401,0.001766552130124099,-0.4520281142712408,0.6513835625265035,-0.004266683655915124,0.002669621199631444,-0.009455278964631256,-5.874992282799037,-0.012614912962978269,-0.006295644966284244,-0.0012421626613171284,-0.7777864365767365,728,53332,1.0
R2,exec,long,48,Q5 - Q1,-0.0027996725893188116,-3.6211250487981284,0.00031364156549953503,-0.004686148459790646,0.000790437800481271,-5.928548023560371,4.721450225352222e-09,-0.006237961582084589,-0.0031343353374967027,-0.0027972517320168084,-3.6158654659451748,-0.004316011275986893,-0.0012784921880467245,-0.0046612499182924275,-5.902807228999259,728,118266,9.159613437183311e-07
R2,exec,short,48,Q5 - Q1,0.0027996725893188116,3.6211250487981284,0.00031364156549953503,0.004686148459790619,0.0007904378004812733,5.928548023560319,4.721450225353613e-09,0.003134335337496671,0.0062379615820845665,0.0027972517320168084,3.6158654659451748,0.0012784921880467245,0.004316011275986893,0.004661249918292428,5.902807228999261,728,118266,9.159613437186009e-07
R3,exec,long,48,Q5 - Q1,-0.0016899313723220226,-1.8701669963428527,0.061861175481787836,-0.00021613605088770127,0.0009365515606559251,-0.2307785924101475,0.8175517413487974,-0.0020548044453468717,0.0016225323435714691,-0.0017096558243455085,-1.893471279861269,-0.003482292375812884,6.298072712186708e-05,-0.00031733236474470637,-0.34507747749825907,728,117765,1.0
R3,exec,short,48,Q5 - Q1,0.0016899313723220226,1.8701669963428527,0.061861175481787836,0.00021613605088767772,0.000936551560655924,0.2307785924101226,0.8175517413488168,-0.0016225323435714904,0.0020548044453468457,0.0017096558243455085,1.893471279861269,-6.298072712186708e-05,0.003482292375812884,0.00031733236474470685,0.3450774774982596,728,117765,1.0
R4,exec,long,48,Q5 - Q1,-0.0022914092250416523,-1.9267578786293453,0.054398203299950015,-0.002189553162352232,0.0012679616719835198,-1.7268291390283368,0.08462313505971059,-0.0046788566343670636,0.0002997503096625999,-0.00229673991653778,-1.9317574667163662,-0.0046308909331100045,3.741110003444492e-05,-0.0017748263846021556,-1.6274810591992042,728,121235,1.0
R4,exec,short,48,Q5 - Q1,0.0022914092250416523,1.9267578786293453,0.054398203299950015,0.002189553162352271,0.0012679616719835207,1.7268291390283663,0.08462313505970533,-0.0002997503096625622,0.004678856634367104,0.00229673991653778,1.9317574667163662,-3.741110003444492e-05,0.0046308909331100045,0.0017748263846020602,1.627481059199117,728,121235,1.0
R4,exec,long,48,Q5|L1 - Q1|L1,-0.0006054175125903188,-0.3900135222583701,0.6966404708886456,-0.0008766172335991189,0.0019553842764581295,-0.44830944185915866,0.6540634634753685,-0.004715491054521442,0.0029622565873232034,-0.0009605343916523234,-0.44969456419432646,-0.005153922057478017,0.0032328532741733706,0.0004747048328056036,0.24098854177794427,728,26842,1.0
R4,exec,short,48,Q5|L1 - Q1|L1,0.0006054175125903188,0.3900135222583701,0.6966404708886456,0.0008766172335990821,0.0019553842764581295,0.4483094418591399,0.654063463475382,-0.0029622565873232403,0.004715491054521404,0.0009605343916523234,0.44969456419432646,-0.0032328532741733706,0.005153922057478017,-0.0004747048328056652,-0.24098854177797555,728,26842,1.0
R4,exec,long,48,Q5|L2 - Q1|L2,-0.0045949163738824165,-2.754265250700662,0.006029017822098001,-0.004283298368954223,0.001688324395206734,-2.537011477838497,0.011388280201523757,-0.007597871570761611,-0.0009687251671468351,-0.003937613986975883,-3.07952393911669,-0.006447877344368811,-0.0014273506295829565,-0.00362796812243438,-2.8136803180200416,728,43809,1.0
R4,exec,short,48,Q5|L2 - Q1|L2,0.0045949163738824165,2.754265250700662,0.006029017822098001,0.004283298368954172,0.0016883243952067314,2.537011477838471,0.011388280201524593,0.00096872516714679,0.007597871570761555,0.003937613986975883,3.07952393911669,0.0014273506295829565,0.006447877344368811,0.003627968122434438,2.8136803180200864,728,43809,1.0
R4,exec,long,48,Q5|L3 - Q1|L3,-0.001873367271916777,-1.0116475677827221,0.31204224204930675,-0.00125889068954002,0.001878534942289955,-0.6701449417839512,0.5029782029443819,-0.004946891405546162,0.0024291100264661218,-0.002151696515114213,-1.4429928530117238,-0.0050791268481560695,0.0007757338179276438,-0.001504999254041875,-0.9992398985135957,728,50584,1.0
R4,exec,short,48,Q5|L3 - Q1|L3,0.001873367271916777,1.0116475677827221,0.31204224204930675,0.0012588906895400333,0.001878534942289954,0.6701449417839586,0.5029782029443771,-0.002429110026466107,0.004946891405546173,0.002151696515114213,1.4429928530117238,-0.0007757338179276438,0.0050791268481560695,0.0015049992540418686,0.9992398985135914,728,50584,1.0
R5,exec,long,48,Q5 - Q1,0.0004760003825942976,0.31312833692396264,0.7542727233866799,0.0018096035540637852,0.0013120745561692906,1.3791926270920696,0.16825949657940262,-0.000766303762681185,0.004385510870808755,0.0004696929365213591,0.3089941405209575,-0.002514545483305098,0.003453931356347816,0.0019043154461284278,1.2129206262375023,728,103605,1.0
