run,universe,direction,comparison,diff_gross,t_gross,diff_net,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R11,full,short,int_bull_BOS - int_bear_BOS,0.00515229686086528,1.5898822473828254,0.0052806464607113275,1.5167905737681526,0.12975425522741546,-0.0015542696788310587,0.012115562600253715,0.0007818979349924204,1.016692452671493,728,146751,1.0
R12,full,long,SBULL|IBULL - SBEAR|IBEAR,-0.003949016871108318,-1.2750067873762483,-0.0038830361622213725,-1.1419949452653713,0.25383210386293376,-0.01055846195524227,0.002792389630799525,-0.0001549642757732347,-0.20443706949336454,728,185099,1.0
R12,full,short,SBULL|IBULL - SBEAR|IBEAR,0.003949016871108318,1.2750067873762483,0.0038830361622213608,1.1419949452653675,0.2538321038629355,-0.0027923896307995395,0.010558461955242262,0.0001549642757732271,0.2044370694933545,728,185099,1.0
R9,exec,long,swing_BULL - swing_BEAR,-0.0026993711128601608,-1.256210879780756,-0.0027174471673328125,-1.168167405056119,0.24312218339692787,-0.007284412807224264,0.001849518472558639,8.821403248286246e-05,0.15971888730156267,728,295400,1.0
R9,exec,short,swing_BULL - swing_BEAR,0.0026993711128601608,1.256210879780756,0.002717447167332819,1.1681674050561217,0.2431221833969268,-0.0018495184725586325,0.007284412807224271,-8.821403248286393e-05,-0.15971888730156533,728,295400,1.0
R10,exec,long,int_BULL - int_BEAR,-0.0022715289292023454,-1.0398742017244829,-0.002279243502595284,-0.9605025748269638,0.3371216714651287,-0.0069379345598446,0.0023794475546540317,-0.0006060225325658896,-1.1701909594092066,728,295422,1.0
R10,exec,short,int_BULL - int_BEAR,0.0022715289292023454,1.0398742017244829,0.00227924350259529,0.9605025748269662,0.33712167146512756,-0.002379447554654026,0.006937934559844606,0.0006060225325658873,1.1701909594092021,728,295422,1.0
R11,exec,long,swing_bull_CHoCH - swing_bear_CHoCH,-0.0015673103360731666,-0.7221993483134799,-0.0013748186468120875,-0.5857337419858915,0.5582362366794019,-0.0059828655402946514,0.003233228246670477,3.11884081746397e-05,0.054084404815994455,728,168159,1.0
R11,exec,short,swing_bull_CHoCH - swing_bear_CHoCH,0.0015673103360731666,0.7221993483134799,0.0013748186468121363,0.5857337419859125,0.5582362366793877,-0.003233228246670426,0.005982865540294698,-3.118840817463848e-05,-0.05408440481599232,728,168159,1.0
R11,exec,long,swing_bull_BOS - swing_bear_BOS,-0.003111074957241148,-0.9194739623782167,-0.003419836678217866,-0.9443781865448683,0.34529016594013756,-0.010529207014287303,0.0036895336578515706,0.00012163340207038338,0.12952884739247417,728,127241,1.0
R11,exec,short,swing_bull_BOS - swing_bear_BOS,0.003111074957241148,0.9194739623782167,0.0034198366782178724,0.9443781865448702,0.34529016594013656,-0.003689533657851563,0.010529207014287308,-0.00012163340207038265,-0.1295288473924734,728,127241,1.0
R11,exec,long,int_bull_CHoCH - int_bear_CHoCH,0.0006893225731303407,0.3191362775998178,0.0009201969314296866,0.3911960016789705,0.6957669851407143,-0.003697847343714359,0.005538241206573732,-0.0001259972145529598,-0.2170500550838341,728,159033,1.0
R11,exec,short,int_bull_CHoCH - int_bear_CHoCH,-0.0006893225731303407,-0.3191362775998178,-0.000920196931429668,-0.39119600167896246,0.6957669851407202,-0.005538241206573715,0.003697847343714379,0.0001259972145529531,0.2170500550838226,728,159033,1.0
R11,exec,long,int_bull_BOS - int_bear_BOS,-0.005479284955455904,-1.692108609916199,-0.005745273900952173,-1.6464861915116789,0.10009587737981177,-0.012595806926230538,0.0011052591243261916,-0.0011385723429237309,-1.4255767448390662,728,136389,1.0
R11,exec,short,int_bull_BOS - int_bear_BOS,0.005479284955455904,1.692108609916199,0.005745273900952192,1.6464861915116844,0.10009587737981059,-0.0011052591243261725,0.012595806926230555,0.0011385723429237272,1.4255767448390615,728,136389,1.0
R12,exec,long,SBULL|IBULL - SBEAR|IBEAR,-0.004179944199381486,-1.3459697176767982,-0.004253595974707278,-1.2433760613169338,0.21413009648790166,-0.0109698243253632,0.002462632375948643,-0.0005702615845616032,-0.7362986874499479,728,171941,1.0
R12,exec,short,SBULL|IBULL - SBEAR|IBEAR,0.004179944199381486,1.3459697176767982,0.004253595974707282,1.2433760613169351,0.2141300964879012,-0.0024626323759486387,0.010969824325363201,0.0005702615845616075,0.7362986874499535,728,171941,1.0
